,ip,count,country,city,region,latitude,longitude,loc,org,postal,timezone,country_name,hostname,bogon,anycast
1329,81.45.52.165,38,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS3352 TELEFONICA DE ESPANA,28001,Europe/Madrid,Spain,165.red-81-45-52.staticip.rima-tde.net,,
1330,92.57.21.129,38,ES,Sabadell,Catalonia,41.5433,2.1094,"41.5433,2.1094",AS12479 Orange Espagne SA,08200,Europe/Madrid,Spain,,,
1331,84.127.145.60,38,ES,Valladolid,Castille and León,41.6552,-4.7237,"41.6552,-4.7237","AS6739 VODAFONE ONO, S.A.",47001,Europe/Madrid,Spain,84.127.145.60.dyn.user.ono.com,,
1332,213.143.49.51,38,ES,Barcelona,Catalonia,41.3888,2.1590,"41.3888,2.1590",AS12479 Orange Espagne SA,08001,Europe/Madrid,Spain,,,
1333,81.45.55.205,38,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS3352 TELEFONICA DE ESPANA,28001,Europe/Madrid,Spain,205.red-81-45-55.staticip.rima-tde.net,,
1334,31.4.176.158,38,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS12430 VODAFONE ESPANA S.A.U.,28001,Europe/Madrid,Spain,31-4-176-158.red-acceso.airtel.net,,
1335,81.45.55.89,38,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS3352 TELEFONICA DE ESPANA,28001,Europe/Madrid,Spain,89.red-81-45-55.staticip.rima-tde.net,,
1336,62.116.59.9,37,AT,Salzburg,Salzburg,47.7994,13.0440,"47.7994,13.0440",AS1901 A1 Telekom Austria AG,5020,Europe/Vienna,Austria,62-116-59-9.adsl.highway.telekom.at,,
1337,194.224.22.9,37,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS3352 TELEFONICA DE ESPANA,28001,Europe/Madrid,Spain,9.red-194-224-22.customer.static.ccgg.telefonica.net,,
1338,163.247.46.219,37,CL,Santiago,Santiago Metropolitan,-33.4569,-70.6483,"-33.4569,-70.6483",AS17147 Ministerio del Interior y de Seguridad Publica - Gobierno de Chile,8320000,America/Santiago,Chile,,,
1339,31.4.198.76,37,ES,Sevilla,Andalusia,37.3828,-5.9732,"37.3828,-5.9732",AS12430 VODAFONE ESPANA S.A.U.,41001,Europe/Madrid,Spain,31-4-198-76.red-acceso.airtel.net,,
1340,157.56.229.184,37,US,Quincy,Washington,47.2343,-119.8525,"47.2343,-119.8525",AS8075 Microsoft Corporation,98848,America/Los_Angeles,United States,,,
